CustomerID,total_transactions,total_products,total_unique_products,avg_product_value,total_sales,min_cart_value,max_cart_value,avg_cart_value
12347,7,182,103,23.6813186813,4310.0,224.82,1294.32,615.714285714
12348,4,31,22,57.975483871,1797.24,227.44,892.8,449.31
12349,1,73,73,24.0760273973,1757.55,1757.55,1757.55,1757.55
12350,1,17,17,19.6705882353,334.4,334.4,334.4,334.4
12352,8,85,59,29.4828235294,2506.04,120.33,840.3,313.255
12353,1,4,4,22.25,89.0,89.0,89.0,89.0
12354,1,58,58,18.6103448276,1079.4,1079.4,1079.4,1079.4
12355,1,13,13,35.3384615385,459.4,459.4,459.4,459.4
12356,3,59,53,47.6513559322,2811.43,58.35,2271.62,937.143333333
12357,1,131,131,47.3867938931,6207.67,6207.67,6207.67,6207.67
12358,2,19,13,61.4768421053,1168.06,484.86,683.2,584.03
12359,4,248,214,25.6958870968,6372.58,547.5,2876.85,1593.145
12360,3,129,105,20.636124031,2662.06,534.7,1083.58,887.353333333
12361,1,10,10,18.99,189.9,189.9,189.9,189.9
12362,10,266,201,19.647481203,5226.23,303.76,829.99,522.623
12363,2,23,23,24.0,552.0,252.9,299.1,276.0
12364,4,85,70,15.4482352941,1313.1,79.8,623.92,328.275
12365,2,22,22,29.1536363636,641.38,320.69,320.69,320.69
12367,1,11,11,15.3545454545,168.9,168.9,168.9,168.9
12370,4,167,143,21.2316766467,3545.69,277.2,1590.82,886.4225
12371,2,63,63,29.9676190476,1887.96,360.0,1527.96,943.98
12372,3,52,34,24.9623076923,1298.04,383.12,515.7,432.68
12373,1,14,14,26.0428571429,364.6,364.6,364.6,364.6
12374,1,33,33,22.513030303,742.93,742.93,742.93,742.93
12375,2,17,14,26.9117647059,457.5,227.2,230.3,228.75
12377,2,77,72,21.1444155844,1628.12,626.6,1001.52,814.06
12378,1,219,219,18.3042009132,4008.62,4008.62,4008.62,4008.62
12379,2,40,39,21.306,852.24,392.4,459.84,426.12
12380,4,104,77,26.2000961538,2724.81,450.86,1040.39,681.2025
12381,5,87,70,21.2104597701,1845.31,4.5,1268.74,369.062
12383,5,99,84,18.6925252525,1850.56,99.45,651.16,370.112
12384,2,27,26,21.6766666667,585.27,292.58,292.69,292.635
12386,2,10,10,40.19,401.9,143.0,258.9,200.95
12388,6,100,57,27.8066,2780.66,124.05,902.09,463.443333333
12390,1,32,32,17.1825,549.84,549.84,549.84,549.84
12391,1,100,92,4.6089,460.89,460.89,460.89,460.89
12393,4,64,47,24.728125,1582.6,177.0,521.5,395.65
12394,2,27,26,47.1288888889,1272.48,381.08,891.4,636.24
12395,12,156,91,19.3501923077,3018.63,149.97,346.68,251.5525
12397,2,126,110,19.1261904762,2409.9,1195.09,1214.81,1204.95
12398,1,85,85,19.2430588235,1635.66,1635.66,1635.66,1635.66
12399,4,59,47,18.7906779661,1108.65,130.08,480.9,277.1625
12401,1,5,5,16.86,84.3,84.3,84.3,84.3
12402,1,11,11,20.5090909091,225.6,225.6,225.6,225.6
12403,1,5,5,85.54,427.7,427.7,427.7,427.7
12405,1,54,54,31.6738888889,1710.39,1710.39,1710.39,1710.39
12406,2,105,92,32.5266666667,3415.3,1621.25,1794.05,1707.65
12407,5,77,57,22.1833766234,1708.12,192.34,719.06,341.624
12408,5,105,81,27.51,2888.55,74.7,762.89,577.71
12409,3,109,91,101.58412844,11072.67,4.95,6207.08,3690.89
12410,2,26,26,26.6665384615,693.33,68.0,625.33,346.665
12412,3,61,43,20.1127868852,1226.88,336.14,514.5,408.96
12413,3,38,29,19.95,758.1,84.65,479.25,252.7
12414,3,18,16,31.245,562.41,153.76,242.8,187.47
12417,9,192,158,19.0057291667,3649.1,291.34,562.69,405.455555556
12418,1,34,34,19.6641176471,668.58,668.58,668.58,668.58
12420,1,29,29,20.7031034483,600.39,600.39,600.39,600.39
12421,4,45,32,17.9342222222,807.04,157.45,239.35,201.76
12422,3,39,39,20.6041025641,803.56,147.7,417.36,267.853333333
12423,8,125,97,14.87448,1859.31,84.92,347.35,232.41375
12424,2,30,30,58.6986666667,1760.96,294.64,1466.32,880.48
12425,1,36,36,21.5888888889,777.2,777.2,777.2,777.2
12426,1,30,30,19.4243333333,582.73,582.73,582.73,582.73
12427,3,31,26,26.6387096774,825.8,239.72,303.5,275.266666667
12428,9,294,258,27.0627891156,7956.46,373.72,2474.62,884.051111111
12429,4,97,82,38.6639175258,3750.4,437.98,1281.5,937.6
12430,1,11,11,23.3090909091,256.4,256.4,256.4,256.4
12431,15,235,163,27.6061702128,6487.45,89.8,640.1,432.496666667
12432,5,108,107,46.8455555556,5059.32,64.6,2862.06,1011.864
12433,7,420,219,31.8473095238,13375.87,19.8,2843.29,1910.83857143
12434,2,50,46,16.1228,806.14,286.25,519.89,403.07
12435,2,36,31,217.496944444,7829.89,3850.9,3978.99,3914.945
12436,1,16,16,31.813125,509.01,509.01,509.01,509.01
12437,18,199,118,24.8814572864,4951.41,65.1,736.55,275.078333333
12438,2,98,84,29.6617346939,2906.85,890.07,2016.78,1453.425
12441,1,11,11,15.7772727273,173.55,173.55,173.55,173.55
12442,1,12,12,14.3383333333,172.06,172.06,172.06,172.06
12444,5,176,138,28.4401136364,5005.46,562.54,1870.2,1001.092
12445,1,4,4,33.35,133.4,133.4,133.4,133.4
12446,1,57,57,17.5843859649,1002.31,1002.31,1002.31,1002.31
12447,1,26,26,18.3265384615,476.49,476.49,476.49,476.49
12448,1,22,22,20.4295454545,449.45,449.45,449.45,449.45
12449,4,191,118,21.2947120419,4067.29,777.95,1342.71,1016.8225
12450,2,8,7,24.735,197.88,96.0,101.88,98.94
12451,5,354,265,25.5240677966,9035.52,262.5,2919.51,1807.104
12452,2,22,21,19.5713636364,430.57,80.0,350.57,215.285
12453,1,43,43,16.4439534884,707.09,707.09,707.09,707.09
12454,1,15,15,235.222666667,3528.34,3528.34,3528.34,3528.34
12455,6,90,85,27.4095555556,2466.86,15.0,1683.9,411.143333333
12456,3,125,105,25.44832,3181.04,915.64,1325.23,1060.34666667
12457,7,62,53,38.1166129032,2363.23,160.0,743.28,337.604285714
12458,2,38,35,24.9315789474,947.4,441.92,505.48,473.7
12461,2,35,35,23.6251428571,826.88,200.0,626.88,413.44
12462,2,62,51,19.1869354839,1189.59,427.48,762.11,594.795
12463,4,83,65,16.2021686747,1344.78,297.38,358.99,336.195
12464,8,29,6,41.7948275862,1212.05,34.0,281.9,151.50625
12465,2,47,46,15.7912765957,742.19,301.25,440.94,371.095
12468,2,38,36,19.1984210526,729.54,220.59,508.95,364.77
12471,30,460,150,43.0957608696,19824.05,29.7,2238.51,660.801666667
12472,7,339,219,19.3867551622,6572.11,268.08,1631.3,938.872857143
12473,5,168,140,23.44375,3938.55,40.46,1697.98,787.71
12474,18,424,253,17.3957311321,7375.79,7.8,806.47,409.766111111
12475,1,36,36,20.0938888889,723.38,723.38,723.38,723.38
12476,11,233,177,29.2550214592,6816.42,12.45,1750.46,619.674545455
12477,6,300,191,44.0658,13219.74,1059.24,4257.06,2203.29
12478,1,36,36,18.9163888889,680.99,680.99,680.99,680.99
12479,1,31,31,17.0064516129,527.2,527.2,527.2,527.2
12480,4,154,129,21.3092857143,3281.63,557.68,1136.68,820.4075
12481,10,217,150,25.7894930876,5596.32,134.82,1307.76,559.632
12483,8,75,46,33.1330666667,2484.98,8.5,547.56,310.6225
12484,6,346,256,13.1263583815,4541.72,140.0,1246.49,756.953333333
12488,3,55,46,23.612,1298.66,214.06,553.39,432.886666667
12489,1,15,15,22.3286666667,334.93,334.93,334.93,334.93
12490,10,245,131,22.114,5417.93,331.5,1035.82,541.793
12491,1,26,25,17.7076923077,460.4,460.4,460.4,460.4
12492,2,20,19,13.1605,263.21,126.39,136.82,131.605
12493,2,22,20,19.7154545455,433.74,201.24,232.5,216.87
12494,7,77,63,16.1831168831,1246.1,4.95,403.09,178.014285714
12497,1,14,14,74.5071428571,1043.1,1043.1,1043.1,1043.1
12498,3,23,21,17.552173913,403.7,30.45,247.25,134.566666667
12500,11,61,34,69.8003278689,4257.82,3.0,1096.65,387.074545455
12501,1,149,149,14.5596644295,2169.39,2169.39,2169.39,2169.39
12502,5,147,102,25.3324489796,3723.87,522.6,1092.35,744.774
12504,2,9,6,53.5611111111,482.05,32.65,449.4,241.025
12506,1,23,23,3.19565217391,73.5,73.5,73.5,73.5
12507,3,21,19,62.1338095238,1304.81,46.75,811.9,434.936666667
12508,2,69,57,5.77202898551,398.27,123.08,275.19,199.135
12509,1,7,7,25.2142857143,176.5,176.5,176.5,176.5
12510,2,33,29,29.7748484848,982.57,301.52,681.05,491.285
12512,2,34,31,4.05970588235,138.03,15.7,122.33,69.015
12513,1,35,35,17.494,612.29,612.29,612.29,612.29
12514,1,51,51,19.9545098039,1017.68,1017.68,1017.68,1017.68
12515,1,16,16,23.98125,383.7,383.7,383.7,383.7
12516,2,26,20,50.4638461538,1312.06,583.2,728.86,656.03
12517,5,284,232,8.81281690141,2502.84,54.0,771.75,500.568
12518,5,124,84,16.5878225806,2056.89,324.83,524.9,411.378
12519,1,18,17,18.9355555556,340.84,340.84,340.84,340.84
12520,5,152,121,17.3306578947,2634.26,246.54,987.42,526.852
12521,1,38,38,15.7810526316,599.68,599.68,599.68,599.68
12522,2,12,11,16.06,192.72,89.4,103.32,96.36
12523,11,106,84,16.8846226415,1789.77,102.95,262.42,162.706363636
12524,8,144,113,31.1508333333,4485.72,289.1,1094.33,560.715
12526,3,71,64,18.5445070423,1316.66,277.08,520.3,438.886666667
12527,3,18,18,19.3727777778,348.71,63.79,152.4,116.236666667
12528,6,92,50,21.0160869565,1933.48,234.0,493.53,322.246666667
12530,4,66,51,25.1860606061,1662.28,387.4,440.63,415.57
12531,1,17,17,7.36588235294,125.22,125.22,125.22,125.22
12532,1,16,16,21.864375,349.83,349.83,349.83,349.83
12534,1,63,63,17.2885714286,1089.18,1089.18,1089.18,1089.18
12535,2,34,28,21.0691176471,716.35,344.9,371.45,358.175
12536,3,261,260,48.2828735632,12601.83,4161.06,4279.71,4200.61
12538,1,21,21,17.330952381,363.95,363.95,363.95,363.95
12539,4,273,157,20.3968864469,5568.35,1050.66,1715.85,1392.0875
12540,17,478,277,28.0339748954,13400.24,277.48,1380.11,788.249411765
12541,3,52,46,18.8688461538,981.18,223.74,445.04,327.06
12544,1,19,19,19.6157894737,372.7,372.7,372.7,372.7
12545,2,50,42,20.0078,1000.39,372.24,628.15,500.195
12546,2,69,59,16.8333333333,1161.5,401.3,760.2,580.75
12547,2,8,7,25.975,207.8,48.4,159.4,103.9
12548,1,5,5,19.04,95.2,95.2,95.2,95.2
12550,1,57,57,16.9268421053,964.83,964.83,964.83,964.83
12551,1,10,10,16.8,168.0,168.0,168.0,168.0
12552,2,20,20,21.891,437.82,120.0,317.82,218.91
12553,10,191,95,19.3313089005,3692.28,6.3,700.31,369.228
12556,2,121,100,4.98933884298,603.71,290.81,312.9,301.855
12557,5,33,15,363.362424242,11990.96,620.0,4146.34,2398.192
12558,1,11,11,24.5418181818,269.96,269.96,269.96,269.96
12559,2,21,21,26.7480952381,561.71,75.6,486.11,280.855
12560,3,105,91,20.3239047619,2134.01,144.0,1292.31,711.336666667
12561,1,16,16,14.928125,238.85,238.85,238.85,238.85
12562,7,168,99,22.5103571429,3781.74,388.64,654.37,540.248571429
12564,1,21,21,21.7571428571,456.9,456.9,456.9,456.9
12565,1,9,9,16.2133333333,145.92,145.92,145.92,145.92
12566,1,19,19,18.5078947368,351.65,351.65,351.65,351.65
12567,10,446,323,21.079103139,9401.28,286.34,1650.1,940.128
12569,32,188,92,21.9398404255,4124.69,52.0,348.68,128.8965625
12571,2,34,31,15.2826470588,519.61,248.35,271.26,259.805
12572,2,60,53,17.007,1020.42,487.68,532.74,510.21
12573,1,28,26,5.73357142857,160.54,160.54,160.54,160.54
12574,1,11,11,19.8590909091,218.45,218.45,218.45,218.45
12576,5,88,72,14.9526136364,1315.83,154.8,379.28,263.166
12577,3,147,137,4.47482993197,657.8,134.02,327.89,219.266666667
12578,2,114,111,24.513245614,2794.51,1185.85,1608.66,1397.255
12579,1,29,29,15.1868965517,440.42,440.42,440.42,440.42
12580,1,24,24,17.3208333333,415.7,415.7,415.7,415.7
12581,1,15,15,13.1806666667,197.71,197.71,197.71,197.71
12582,2,22,21,23.2436363636,511.36,205.16,306.2,255.68
12583,15,247,115,29.4792712551,7281.38,243.1,855.86,485.425333333
12584,9,96,44,24.3557291667,2338.15,12.75,463.63,259.794444444
12585,2,87,77,23.4494252874,2040.1,777.25,1262.85,1020.05
12586,1,11,11,17.9036363636,196.94,196.94,196.94,196.94
12587,1,4,4,36.0,144.0,144.0,144.0,144.0
12588,1,10,10,21.49,214.9,214.9,214.9,214.9
12589,2,35,29,18.4765714286,646.68,131.5,515.18,323.34
12590,2,68,68,145.062647059,9864.26,523.0,9341.26,4932.13
12591,1,26,26,17.4173076923,452.85,452.85,452.85,452.85
12592,2,18,11,24.3111111111,437.6,205.8,231.8,218.8
12593,3,21,14,19.9095238095,418.1,85.8,236.0,139.366666667
12594,10,118,50,28.29,3338.22,28.0,722.4,333.822
12596,2,27,25,22.8988888889,618.27,269.95,348.32,309.135
12597,4,206,184,18.5010679612,3811.22,205.96,2176.45,952.805
12598,8,132,84,22.9021212121,3023.08,36.0,720.86,377.885
12599,7,62,32,16.654516129,1032.58,78.6,201.86,147.511428571
12600,10,64,32,40.61,2599.04,76.5,427.94,259.904
12601,5,28,21,20.6092857143,577.06,68.1,144.26,115.412
12602,1,12,12,12.76,153.12,153.12,153.12,153.12
12603,1,2,2,369.6,739.2,739.2,739.2,739.2
12604,2,16,15,15.88625,254.18,75.68,178.5,127.09
12607,1,101,101,15.6387128713,1579.51,1579.51,1579.51,1579.51
12609,3,60,57,18.7808333333,1126.85,287.93,512.8,375.616666667
12610,5,106,85,19.8069811321,2099.54,160.0,946.75,419.908
12611,1,65,65,18.3587692308,1193.32,1193.32,1193.32,1193.32
12612,1,19,19,37.0547368421,704.04,704.04,704.04,704.04
12613,5,153,124,21.8586928105,3344.38,18.0,1881.86,668.876
12614,1,20,20,15.78,315.6,315.6,315.6,315.6
12615,4,105,82,21.8208571429,2291.19,422.85,656.95,572.7975
12616,2,32,25,22.290625,713.3,255.6,457.7,356.65
12617,1,42,39,8.465,355.53,355.53,355.53,355.53
12618,1,11,11,16.1190909091,177.31,177.31,177.31,177.31
12619,9,90,50,40.4582222222,3641.24,199.8,688.0,404.582222222
12620,3,92,89,14.5588043478,1339.41,377.66,561.66,446.47
12621,20,467,261,29.3140685225,13689.67,49.8,1209.8,684.4835
12622,1,11,11,16.3727272727,180.1,180.1,180.1,180.1
12623,1,18,18,16.95,305.1,305.1,305.1,305.1
12624,2,38,36,16.8718421053,641.13,299.94,341.19,320.565
12625,2,86,73,31.2072093023,2683.82,967.2,1716.62,1341.91
12626,9,294,232,22.5186394558,6620.48,178.1,1377.55,735.608888889
12627,7,230,162,19.4718695652,4478.53,72.0,1183.72,639.79
12628,3,41,34,19.1819512195,786.46,215.25,333.64,262.153333333
12630,2,64,60,19.8575,1270.88,569.09,701.79,635.44
12631,1,31,31,20.6612903226,640.5,640.5,640.5,640.5
12633,4,101,73,21.4255445545,2163.98,215.23,1012.82,540.995
12635,2,101,96,16.7245544554,1689.18,683.64,1005.54,844.59
12637,8,390,205,15.4407692308,6021.9,4.63,1516.68,752.7375
12638,1,39,39,17.2228205128,671.69,671.69,671.69,671.69
12639,1,22,22,22.0954545455,486.1,486.1,486.1,486.1
12640,3,53,47,22.1618867925,1174.58,77.76,764.59,391.526666667
12641,1,10,10,18.59,185.9,185.9,185.9,185.9
12642,3,47,39,21.5587234043,1013.26,291.96,366.45,337.753333333
12643,6,24,11,139.36,3344.64,202.48,1202.22,557.44
12644,1,31,31,15.4164516129,477.91,477.91,477.91,477.91
12645,4,73,58,24.3175342466,1775.18,369.3,511.96,443.795
12646,2,45,43,29.9326666667,1346.97,615.28,731.69,673.485
12647,12,121,78,30.767107438,3722.82,85.5,596.8,310.235
12648,1,21,21,15.1452380952,318.05,318.05,318.05,318.05
12649,3,31,28,20.1132258065,623.51,15.3,375.0,207.836666667
12650,1,20,20,15.722,314.44,314.44,314.44,314.44
12651,1,9,9,12.6666666667,114.0,114.0,114.0,114.0
12652,1,48,48,19.16625,919.98,919.98,919.98,919.98
12653,2,43,37,51.3918604651,2209.85,779.1,1430.75,1104.925
12654,5,38,31,15.8415789474,601.98,48.1,171.23,120.396
12656,5,126,89,32.1521428571,4051.17,541.2,1161.07,810.234
12657,4,47,35,34.9612765957,1643.18,42.5,618.44,410.795
12658,1,36,36,19.0569444444,686.05,686.05,686.05,686.05
12659,1,5,5,18.336,91.68,91.68,91.68,91.68
12660,1,13,13,18.8538461538,245.1,245.1,245.1,245.1
12662,11,230,129,16.738173913,3849.78,120.9,521.62,349.98
12664,9,37,10,131.942702703,4881.88,310.0,890.0,542.431111111
12665,1,3,3,21.0,63.0,63.0,63.0,63.0
12667,1,33,33,18.7918181818,620.13,620.13,620.13,620.13
12668,4,161,115,23.6468944099,3807.15,469.87,1444.8,951.7875
12669,3,101,98,27.1686138614,2744.03,471.43,1136.3,914.676666667
12670,5,92,58,32.5657608696,2996.05,393.34,696.12,599.21
12672,1,10,10,22.59,225.9,225.9,225.9,225.9
12673,2,42,42,14.5361904762,610.52,220.9,389.62,305.26
12674,4,83,52,23.7421686747,1970.6,390.06,586.74,492.65
12676,6,45,33,29.5864444444,1331.39,121.55,509.5,221.898333333
12678,12,165,105,106.839151515,17628.46,52.2,8895.76,1469.03833333
12679,4,48,43,23.1879166667,1113.02,94.32,794.06,278.255
12680,4,52,33,16.5925,862.81,112.38,311.78,215.7025
12681,22,638,267,21.6105642633,13787.54,121.92,1238.06,626.706363636
12682,31,525,209,23.4061333333,12288.22,99.6,835.11,396.394193548
12683,15,344,177,24.6411918605,8476.57,24.9,1130.95,565.104666667
12684,7,105,61,21.7488571429,2283.63,30.0,489.1,326.232857143
12685,6,157,117,18.2361783439,2863.08,222.6,1057.18,477.18
12686,1,7,7,12.7342857143,89.14,89.14,89.14,89.14
12688,1,171,171,28.5018128655,4873.81,4873.81,4873.81,4873.81
12689,2,72,57,17.3279166667,1247.61,511.03,736.58,623.805
12690,1,16,16,24.313125,389.01,389.01,389.01,389.01
12691,6,32,21,32.36875,1035.8,36.0,303.1,172.633333333
12693,4,39,35,21.9464102564,855.91,162.05,239.85,213.9775
12694,2,37,32,23.5045945946,869.67,430.17,439.5,434.835
12695,4,27,23,21.5592592593,582.1,85.1,244.65,145.525
12697,3,41,37,23.3558536585,957.59,223.68,390.5,319.196666667
12700,4,268,193,18.4327985075,4939.99,1056.62,1476.19,1234.9975
12701,2,53,50,15.0511320755,797.71,337.08,460.63,398.855
12702,1,12,12,18.25,219.0,219.0,219.0,219.0
12703,1,21,21,13.5023809524,283.55,283.55,283.55,283.55
12704,8,88,64,26.6004545455,2340.84,69.61,561.28,292.605
12705,9,334,228,20.563742515,6868.29,72.0,1321.25,763.143333333
12707,1,33,33,18.2854545455,603.42,603.42,603.42,603.42
12708,10,157,86,17.2796815287,2712.91,33.0,403.83,271.291
12709,15,208,93,46.8101923077,9736.52,68.0,1225.26,649.101333333
12710,3,77,75,14.9223376623,1149.02,71.4,718.96,383.006666667
12712,13,133,58,33.0536090226,4396.13,146.8,776.05,338.163846154
12713,1,38,38,22.3302631579,848.55,848.55,848.55,848.55
12714,5,259,216,18.1809266409,4708.86,513.26,1319.16,941.772
12715,1,21,20,16.8504761905,353.86,353.86,353.86,353.86
12716,2,69,60,15.2679710145,1053.49,375.59,677.9,526.745
12717,2,55,49,18.7450909091,1030.98,421.24,609.74,515.49
12718,1,19,19,12.5394736842,238.25,238.25,238.25,238.25
12719,2,39,34,16.5371794872,644.95,283.6,361.35,322.475
12720,25,354,211,16.3325706215,5781.73,16.5,498.32,231.2692
12721,6,161,133,16.4977018634,2656.13,286.6,614.32,442.688333333
12722,4,53,50,18.8232075472,997.63,46.65,580.08,249.4075
12723,5,69,53,10.5082608696,725.07,19.26,329.12,145.014
12724,4,53,47,19.4605660377,1031.41,125.46,542.81,257.8525
12725,1,24,24,17.825,427.8,427.8,427.8,427.8
12726,7,124,57,21.0411290323,2609.1,170.28,784.46,372.728571429
12727,7,139,109,28.6381294964,3980.7,38.4,919.66,568.671428571
12728,4,46,38,18.1810869565,836.33,164.05,252.54,209.0825
12729,1,26,26,17.4234615385,453.01,453.01,453.01,453.01
12731,12,274,109,68.9631751825,18895.91,252.0,3174.43,1574.65916667
12732,1,12,12,19.6883333333,236.26,236.26,236.26,236.26
12733,1,22,22,17.4522727273,383.95,383.95,383.95,383.95
12734,1,4,4,27.6,110.4,110.4,110.4,110.4
12735,2,43,38,18.1295348837,779.57,319.77,459.8,389.785
12736,1,4,4,58.5,234.0,234.0,234.0,234.0
12738,1,11,11,14.1227272727,155.35,155.35,155.35,155.35
12739,2,38,38,26.6589473684,1013.04,37.5,975.54,506.52
12740,1,27,27,15.837037037,427.6,427.6,427.6,427.6
12743,2,134,114,4.0778358209,546.43,199.08,347.35,273.215
12744,7,222,178,95.8526576577,21279.29,999.26,6068.06,3039.89857143
12750,1,15,15,18.392,275.88,275.88,275.88,275.88
12752,1,53,53,82.3920754717,4366.78,4366.78,4366.78,4366.78
12753,6,197,132,108.778629442,21429.39,15.3,5735.24,3571.565
12754,3,63,49,47.7895238095,3010.74,16.05,2949.12,1003.58
12755,2,4,4,952.9875,3811.95,17.55,3794.4,1905.975
12756,1,4,4,28.02,112.08,112.08,112.08,112.08
12757,13,371,237,21.1781671159,7857.1,49.5,1578.87,604.392307692
12758,2,97,84,28.7792783505,2791.59,1221.4,1570.19,1395.795
12759,3,95,81,16.1204210526,1531.44,444.8,637.72,510.48
12762,2,69,62,27.5147826087,1898.52,461.59,1436.93,949.26
12763,2,18,16,27.4488888889,494.08,174.0,320.08,247.04
12764,1,45,45,37.6417777778,1693.88,1693.88,1693.88,1693.88
12766,7,310,205,22.5471935484,6989.63,686.48,1319.01,998.518571429
12769,1,32,32,35.7375,1143.6,1143.6,1143.6,1143.6
12770,1,12,12,112.620833333,1351.45,1351.45,1351.45,1351.45
12772,1,55,55,16.2267272727,892.47,892.47,892.47,892.47
12775,5,66,47,21.0006060606,1386.04,214.45,419.8,277.208
12778,6,50,40,16.4446,822.23,84.0,171.93,137.038333333
12779,8,149,88,26.7205369128,3981.36,25.0,981.95,497.67
12781,2,25,25,33.0696,826.74,277.48,549.26,413.37
12782,5,103,81,22.6302912621,2330.92,252.25,683.93,466.184
12783,6,84,76,26.4989285714,2225.91,222.26,642.01,370.985
12784,2,59,54,9.73593220339,574.42,56.0,518.42,287.21
12785,1,14,14,22.2821428571,311.95,311.95,311.95,311.95
12787,3,20,17,23.183,463.66,119.0,186.56,154.553333333
12789,1,4,4,22.9625,91.85,91.85,91.85,91.85
12790,1,21,21,15.4723809524,324.92,324.92,324.92,324.92
12791,1,2,2,96.3,192.6,192.6,192.6,192.6
12792,1,25,25,16.0216,400.54,400.54,400.54,400.54
12793,2,24,21,22.7283333333,545.48,131.8,413.68,272.74
12794,2,45,43,19.1202222222,860.41,317.0,543.41,430.205
12795,1,14,14,30.7485714286,430.48,430.48,430.48,430.48
12797,1,13,13,19.5407692308,254.03,254.03,254.03,254.03
12798,3,8,6,872.13,6977.04,1607.04,3651.6,2325.68
12802,1,25,25,17.1032,427.58,427.58,427.58,427.58
12808,3,28,27,17.2732142857,483.65,129.4,202.3,161.216666667
12809,1,25,25,19.5724,489.31,489.31,489.31,489.31
12811,3,31,27,16.6080645161,514.85,27.0,247.6,171.616666667
12812,1,15,15,15.3093333333,229.64,229.64,229.64,229.64
12814,1,2,2,62.96,125.92,125.92,125.92,125.92
12815,2,47,38,22.6268085106,1063.46,448.1,615.36,531.73
12816,2,29,27,19.7310344828,572.2,253.55,318.65,286.1
12817,1,4,4,41.51,166.04,166.04,166.04,166.04
12818,1,14,14,110.148571429,1542.08,1542.08,1542.08,1542.08
12865,2,95,86,16.5076842105,1568.23,586.85,981.38,784.115
12866,1,26,26,21.5046153846,559.12,559.12,559.12,559.12
12876,2,85,67,26.0943529412,2218.02,726.43,1491.59,1109.01
13492,3,50,38,25.3968,1269.84,315.3,593.74,423.28
13493,2,8,6,77.32875,618.63,179.35,439.28,309.315
13501,1,52,52,25.7753846154,1340.32,1340.32,1340.32,1340.32
13505,4,215,182,20.4354883721,4393.63,667.03,1810.51,1098.4075
13520,6,93,49,38.9715053763,3624.35,303.4,856.0,604.058333333
13809,1,12,11,12.9208333333,155.05,155.05,155.05,155.05
13810,3,35,32,42.8288571429,1499.01,246.01,653.5,499.67
13811,3,13,7,62.6538461538,814.5,222.75,333.0,271.5
13812,3,36,33,14.9722222222,539.0,120.38,278.74,179.666666667
13813,4,69,54,19.8095652174,1366.86,281.94,407.54,341.715
13814,2,57,37,27.7038596491,1579.12,617.54,961.58,789.56
13815,4,176,132,22.8827272727,4027.36,103.2,1965.74,1006.84
13816,2,28,25,20.4167857143,571.67,199.98,371.69,285.835
13817,2,24,20,15.9575,382.98,128.7,254.28,191.49
13919,2,28,24,13.7432142857,384.81,171.66,213.15,192.405
14016,4,161,154,26.9640372671,4341.21,753.74,1477.56,1085.3025
14265,2,31,31,17.1025806452,530.18,252.05,278.13,265.09
14277,3,225,195,18.7386666667,4216.2,499.4,2079.37,1405.4
14335,2,63,55,7.4326984127,468.26,109.01,359.25,234.13
14439,1,32,32,83.16375,2661.24,2661.24,2661.24,2661.24
14442,2,63,58,25.2352380952,1589.82,675.58,914.24,794.91
14566,1,4,4,358.0,1432.0,1432.0,1432.0,1432.0
14912,2,27,21,32.1425925926,867.85,385.06,482.79,433.925
14930,3,128,116,18.53796875,2372.86,165.58,1104.13,790.953333333
14931,5,41,30,30.6751219512,1257.68,198.4,293.0,251.536
14932,1,17,17,21.3841176471,363.53,363.53,363.53,363.53
14934,2,87,68,21.7349425287,1890.94,828.84,1062.1,945.47
14935,1,10,10,178.471,1784.71,1784.71,1784.71,1784.71
14936,8,364,210,22.3544505495,8137.02,33.0,2060.03,1017.1275
14937,3,34,33,47.7023529412,1621.88,212.4,759.56,540.626666667
15108,4,60,50,21.6708333333,1300.25,45.0,676.8,325.0625
15332,4,35,29,47.4588571429,1661.06,15.0,1145.06,415.265
15388,1,10,10,14.054,140.54,140.54,140.54,140.54
15480,1,45,45,20.1222222222,905.5,905.5,905.5,905.5
16320,2,56,56,18.5439285714,1038.46,185.78,852.68,519.23
16321,5,12,7,31.1375,373.65,67.95,87.75,74.73
17097,8,211,153,4.52331753555,954.42,13.25,174.72,119.3025
17404,15,198,111,161.145555556,31906.82,15.0,5296.96,2127.12133333
17443,1,1,1,534.24,534.24,534.24,534.24,534.24
17444,3,135,132,21.7780740741,2940.04,550.94,1217.64,980.013333333
17508,1,22,22,17.605,387.31,387.31,387.31,387.31
17828,4,67,54,27.1655223881,1820.09,30.0,833.16,455.0225
17829,1,30,30,29.6413333333,889.24,889.24,889.24,889.24
17844,1,5,5,10.312,51.56,51.56,51.56,51.56
